ATM,Sitio,CR,Division,Marca,Tipo dispositivo,Estatus dispositivo,Calle,Num. Ext.,Estado,Ciudad,CP,Del/Muni,Colonia,Latitud,Longitud,Tipo localidad,IDC,ETV
7530,COAHUILA,3449,METROPOLITANA SUR,GRG,PRACTDUAL,ACTIVO,COAHUILA,216,DISTRITO FEDERAL,CIUDAD DE MEXICO,6700,CUAUHTEMOC,ROMA,19.410474,-99.166379,SUC,GRG,APODERADO
7531,LOMAS DE ATIZAPAN,1439,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,AV. ADOLFO RUIZ CORTINES,255,ESTADO DE MEXICO,CIUDAD ADOLFO LOPEZ MATEOS,52977,ATIZAPAN DE ZARAGOZA,LOMAS DE ATIZAPAN,19.54949887,-99.2741906,SUC,WINCOR,APODERADO
7532,SUPER DEL NORTE CAMPANARIO,6062,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,BLVD BARTOLOME DELGADO DE LEON SUR,401,SONORA,CIUDAD OBREGON,85064,CAJEME,CAMPANARIO,27.4895,-109.91,REM,DIEBOLD,SEPSA
7533,DURANGO CENTRO,5429,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,CONSTITUCION,300,DURANGO,VICTORIA DE DURANGO,34000,DURANGO,CENTRO,24.0303899,-104.6709213,SUC,DIEBOLD,APODERADO
7534,PLAZA CARACOL,5454,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD FRANCISCO MEDINA ASCENCIO,SN,JALISCO,PUERTO VALLARTA,48310,PUERTO VALLARTA,VERSALLES,20.6331417,-105.2297031,SUC,DIEBOLD,APODERADO
7535,PLAZA DEL SALADO,1290,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,CALZ IGNACIO ZARAGOZA,3254,DISTRITO FEDERAL,CIUDAD DE MEXICO,9140,IZTAPALAPA,SANTA MARTHA ACATITLA,19.366587,-99.005747,SUC,DIEBOLD,APODERADO
7536,TAMPICO CENTRO,783,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,GRAL CESAR LOPEZ DE LARA,211,TAMAULIPAS,TAMPICO,89000,TAMPICO,CENTRO,22.2135187,-97.8551131,SUC,DIEBOLD,APODERADO
7537,CHEDRAUI SAMARA SANTA FE,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV ANTONIO DOVALI JAIME,70,DISTRITO FEDERAL,CIUDAD DE MEXICO,1260,ALVARO OBREGON,LA MEXICANA,19.368122,-99.258898,REM,DIEBOLD,SEPSA
7538,WALMART AVENIDA DE LOS MAESTROS AGUASCALIENTES,6062,BAJIO,GRG,DISPENSADOR,ACTIVO,AV AGUASCALIENTES SUR,402,AGUASCALIENTES,AGUASCALIENTES,20205,AGUASCALIENTES,NUEVA ESPANA,21.858466,-102.3165446,REM,GRG,SEPSA
7539,CHEDRAUI CANCUN FRISA 3 CHAC MOOL,6062,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,LOTE 1 MANZANA 1 CHAC MOOL SUPER MANZANA 315,SN,QUINTANA ROO,BENITO JUAREZ,77560,BENITO JUAREZ,ALFREDO V BONFIL,21.1638719,-86.87320799,REM,DIEBOLD,SEPSA
7540,CHEDRAUI TULUM,6062,SURESTE,DIEBOLD,DISPENSADOR,ACTIVO,CTRA BOCA PAILA TULUM,MZ 005 L,QUINTANA ROO,CANCUN,77500,BENITO JUAREZ,SUPERMANZANA 4 A,20.21169568,-87.44962437,REM,DIEBOLD,SEPSA
7541,PLAZA CARACOL,5454,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD FRANCISCO MEDINA ASCENCIO,SN,JALISCO,PUERTO VALLARTA,48310,PUERTO VALLARTA,VERSALLES,20.6331417,-105.2297031,SUC,DIEBOLD,APODERADO
7542,PLAZA CARACOL,5454,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD FRANCISCO MEDINA ASCENCIO,SN,JALISCO,PUERTO VALLARTA,48310,PUERTO VALLARTA,VERSALLES,20.6331417,-105.2297031,SUC,DIEBOLD,APODERADO
7543,TAMPICO CENTRO,783,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,GRAL CESAR LOPEZ DE LARA,211,TAMAULIPAS,TAMPICO,89000,TAMPICO,CENTRO,22.2135187,-97.8551131,SUC,DIEBOLD,APODERADO
7545,SAN JUAN DE LOS LAGOS,5460,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,BENIGNO ROMO,12,JALISCO,SAN JUAN DE LOS LAGOS,47000,SAN JUAN DE LOS LAGOS,CENTRO,21.2466361,-102.3351788,SUC,DIEBOLD,APODERADO
7546,SAN JUAN DE LOS LAGOS,5460,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,BENIGNO ROMO,12,JALISCO,SAN JUAN DE LOS LAGOS,47000,SAN JUAN DE LOS LAGOS,CENTRO,21.2466361,-102.3351788,SUC,DIEBOLD,APODERADO
7547,SAN LUIS GLORIETA,5771,BAJIO,NCR,PRACTDUAL,ACTIVO,AV DE LAS TORRES,113,SAN LUIS POTOSI,SAN LUIS POTOSI,78320,SAN LUIS POTOSI,EL PASEO,22.150264,-100.958032,SUC,NCR,APODERADO
7548,PLAZA CINEMUNDO,3931,SUR,WINCOR,PRACTDUAL,ACTIVO,CTRA MEXICO CUAUTLA,SN,MORELOS,CUAUTLA,62748,CUAUTLA,MIGUEL HIDALGO,18.84761941,-98.93768678,SUC,WINCOR,APODERADO
7550,MEGA COMERCIAL MEXICANA TLAQUEPAQUE,6062,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,AV MARCELINO GARCIA BARRAGAN,2077,JALISCO,GUADALAJARA,44840,GUADALAJARA,PRADOS DEL NILO,20.647082,-103.319043,REM,DIEBOLD,SEPSA
7551,SAN ANDRES,416,OCCIDENTE,NCR,PRACTDUAL,ACTIVO,CHAMIZAL,26,JALISCO,GUADALAJARA,44810,GUADALAJARA,EXNAHIPODROMO DE PERALVILLO,20.662493,-103.304307,SUC,NCR,APODERADO
7552,ALMACENES IBARRA HUEJUTLA,6062,BAJIO,WINCOR,DISPENSADOR,ACTIVO,AV MEXICO,101,HIDALGO,HUEJUTLA DE REYES,43000,HUEJUTLA DE REYES,SANTA IRENE,21.1414,-98.4169,REM,WINCOR,SEPSA
7553,ALMACENES IBARRA GARZA AYALA,6062,NORESTE,WINCOR,DISPENSADOR,ACTIVO,HERMENEGILDO GALEANA,106,NUEVO LEON,CIUDAD BENITO JUAREZ,67267,JUAREZ,GARZA Y GARZA,25.647344,-100.097866,REM,WINCOR,SEPSA
7554,ALMACENES IBARRA ALTAMIRA,6062,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,ANTIGUA CTRA TAMPICO MANTE,KM 11,TAMAULIPAS,ALTAMIRA,89603,ALTAMIRA,LAGUNA DE LA PUERTA,22.3595,-97.8916,REM,DIEBOLD,SEPSA
7555,ALMACENES IBARRA MADERO,6062,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,13 DE ENERO NORTE,102,TAMAULIPAS,CIUDAD MADERO,89400,CIUDAD MADERO,CIUDAD MADERO CENTRO,22.2475,-97.8357,REM,DIEBOLD,SEPSA
7556,MERIDA CENTRO,5933,SURESTE,WINCOR,PRACTDUAL,ACTIVO,CALLE 64,509,YUCATAN,MERIDA,97000,MERIDA,CENTRO,20.9587589,-89.6283679,SUC,WINCOR,APODERADO
7557,SERVI BLVD,6062,METROPOLITANA NORTE,WINCOR,DISPENSADOR,ACTIVO,CTRA CUAUTITLAN KM 28 MEXICO QUERETARO,115,ESTADO DE MEXICO,TEOLOYUCAN,54786,TEOLOYUCAN,SAN SEBASTIAN,19.76034,-99.215814,REM,WINCOR,SEPSA
7558,PROPIMEX TLALNEPANTLA,6062,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,ABRAHAM LINCOLN,1 PUERTA 3,ESTADO DE MEXICO,TLALNEPANTLA DE BAZ,54070,TLALNEPANTLA DE BAZ,FRACCIONAMIENTO INDUSTRIAL PUENTE DE VIGAS,19.4561273,-99.1585695,REM,DIEBOLD,SEPSA
7559,TAMPICO CENTRO,783,NORESTE,DIEBOLD,PRACTDUAL,ACTIVO,GRAL CESAR LOPEZ DE LARA,211,TAMAULIPAS,TAMPICO,89000,TAMPICO,CENTRO,22.2135187,-97.8551131,SUC,DIEBOLD,APODERADO
7560,SANTELMO TOW CENTER,1440,BAJIO,WINCOR,PRACTDUAL,ACTIVO,AV. PROLONGACION ZARAGOZA,1011,AGUASCALIENTES,AGUASCALIENTES,20116,AGUASCALIENTES,TROJES DE ALONSO,21.9308333,-102.3053921,SUC,WINCOR,APODERADO
7561,PARRAL ALTAVISTA,5113,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD ANTONIO ORTIZ MENA,221,CHIHUAHUA,HIDALGO DEL PARRAL,33860,HIDALGO DEL PARRAL,CENTRO,26.9267863,-105.671382,SUC,DIEBOLD,APODERADO
7562,PLAZA COACALCO,119,METROPOLITANA NORTE,DIEBOLD,PRACTDUAL,ACTIVO,JOSE LOPEZ PORTILLO,334 L 140,ESTADO DE MEXICO,COACALCO DE BERRIOZABAL,55714,COACALCO DE BERRIOZABAL,SAN LORENZO TETLIXTAC,19.627135,-99.081866,SUC,DIEBOLD,APODERADO
7563,CELAYA MORELOS,317,BAJIO,NCR,PRACTDUAL,ACTIVO,JOSE MARIA MORELOS,105,GUANAJUATO,CELAYA,38000,CELAYA,CENTRO,20.521339,-100.813251,SUC,NCR,APODERADO
7564,WATA GROUP,6062,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,FEDERALISMO NORTE,3750,JALISCO,ZAPOPAN,45190,ZAPOPAN,ATEMAJAC DEL VALLE,20.719624,-103.353513,REM,DIEBOLD,SEPSA
7565,COSTCO CELAYA,6062,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,AV TECNOLOGICO,651,GUANAJUATO,CELAYA,38010,CELAYA,CIUDAD INDUSTRIAL,20.5454902,-100.8225287,REM,DIEBOLD,SEPSA
7566,SUPREMO TRIBUNAL DE JUSTICIA DEL EDO DE CHIHUAHUA,6062,NOROESTE,NCR,DISPENSADOR,ACTIVO,ALLENDE,901,CHIHUAHUA,CHIHUAHUA,31000,CHIHUAHUA,SECTOR BOLIVAR,28.63779,-106.071836,REM,NCR,SEPSA
7567,CELAYA JARDINES,5508,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,BLVD ADOLFO LOPEZ MATEOS,1107,GUANAJUATO,CELAYA,38080,CELAYA,JARDINES DE CELAYA,20.5196355,-100.797961,SUC,DIEBOLD,APODERADO
7568,POLICIA FEDERAL LEGARIA,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,CALZ DE LEGARIA,631,DISTRITO FEDERAL,CIUDAD DE MEXICO,11500,MIGUEL HIDALGO,IRRIGACION,19.447073,-99.20847,REM,GRG,SEPSA
7569,SAN ANTONIO ABAD,3432,METROPOLITANA SUR,DIEBOLD,PRACTDUAL,ACTIVO,SAN ANTONIO ABAD,160,DISTRITO FEDERAL,CIUDAD DE MEXICO,6820,CUAUHTEMOC,TRANSITO,19.414318,-99.134601,SUC,DIEBOLD,APODERADO
7570,PLAZA DEL SALADO,1290,METROPOLITANA SUR,WINCOR,PRACTDUAL,ACTIVO,CALZ IGNACIO ZARAGOZA,3254,DISTRITO FEDERAL,CIUDAD DE MEXICO,9140,IZTAPALAPA,SANTA MARTHA ACATITLA,19.366587,-99.005747,SUC,WINCOR,APODERADO
7571,METRO MOCTEZUMA,3602,METROPOLITANA SUR,WINCOR,PRACTDUAL,ACTIVO,CALZ IGNACIO ZARAGOZA,79,DISTRITO FEDERAL,CIUDAD DE MEXICO,15900,VENUSTIANO CARRANZA,JARDIN BALBUENA,19.42658,-99.110178,SUC,WINCOR,APODERADO
7572,TEXCOCO PLAZA LA PUERTA,5236,METROPOLITANA SUR,DIEBOLD,PRACTDUAL,ACTIVO,CARR FEDERAL MEXICO NA TEXCOCO,0,ESTADO DE MEXICO,TEXCOCO,56259,TEXCOCO,SANTIAGO CUAUTLALPAN,19.428692,-98.909785,SUC,DIEBOLD,APODERADO
7574,HOTEL PEDREGAL WALDORF ASTORIA,6062,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,CAMINO DEL MAR,1,BAJA CALIFORNIA SUR,CABO SAN LUCAS,23453,CABO SAN LUCAS,EL PEDREGAL,22.8747548,-109.9121354,REM,DIEBOLD,SEPSA
7575,ARCELIA CENTRO,5570,SUR,WINCOR,PRACTDUAL,ACTIVO,PLAZA PRINCIPAL FRANCISCO O ARCE,14,GUERRERO,ARCELIA,40500,ARCELIA,CENTRO,18.315331,-100.283769,SUC,WINCOR,APODERADO
7576,CELAYA JARDINES,5508,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,BLVD ADOLFO LOPEZ MATEOS,1107,GUANAJUATO,CELAYA,38080,CELAYA,JARDINES DE CELAYA,20.5196355,-100.797961,SUC,DIEBOLD,APODERADO
7577,PENJAMO HIDALGO,5526,BAJIO,WINCOR,PRACTDUAL,ACTIVO,HIDALGO,3,GUANAJUATO,PENJAMO,36900,PENJAMO,CENTRO,20.429705,-101.722806,SUC,WINCOR,APODERADO
7578,PALACIO DE HIERRO INTERLOMAS,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,VIALIDAD DE LA BARRANCA,6,ESTADO DE MEXICO,HUIXQUILUCAN DE DEGOLLADO,52764,HUIXQUILUCAN,JESUS DEL MONTE,19.397402,-99.282858,REM,GRG,SEPSA
7579,ENCARNACION DE DIAZ,488,OCCIDENTE,WINCOR,PRACTDUAL,ACTIVO,CONSTITUCION,48,JALISCO,ENCARNACION DE DIAZ,47270,ENCARNACION DE DIAZ,CENTRO,21.526804,-102.240301,SUC,WINCOR,APODERADO
7580,CERVECERIA CUAUHTEMOC MOCTEZUMA TECAMAC,6062,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,CIRCUITO BOSQUES DE LOS GALES,MZ LTE 139,ESTADO DE MEXICO,TECAMAC DE FELIPE VILLANUEVA,55764,TECAMAC,LOS HEROES DE TECAMAC II,19.633174,-99.045862,REM,DIEBOLD,SEPSA
7582,PORTAL VALLEJO (LA RAZA),6062,METROPOLITANA NORTE,NCR,PRACTDUAL,ACTIVO,CALZADA VALLEJO,296,DISTRITO FEDERAL,CIUDAD DE MEXICO,2940,AZCAPOTZALCO,SAN FRANCISCO XOCOTITLA,19.468307,-99.144864,REM,NCR,SEPSA
7583,LA PAZ COLOSIO,4609,NOROESTE,NCR,PRACTDUAL,ACTIVO,OLAZA VICTORIA BOLDV LUIS DONALDO Y PELICANOS,0,BAJA CALIFORNIA SUR,LA PAZ,23079,LA PAZ,LAS GARZAS,24.130961,-110.32506,SUC,NCR,APODERADO
7584,SORIANA IZTAPALAPA,6062,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,CALZ ERMITA IZTAPALAPA,1863,DISTRITO FEDERAL,CIUDAD DE MEXICO,9830,IZTAPALAPA,LOS ANGELES,19.3499604,-99.07410053,REM,GRG,SEPSA
7585,LA ROMANA,3525,METROPOLITANA NORTE,GRG,PRACTDUAL,ACTIVO,AV HIDALGO,92,ESTADO DE MEXICO,TLALNEPANTLA DE BAZ,54030,TLALNEPANTLA DE BAZ,LA ROMANA,19.55003904,-99.19341786,SUC,GRG,APODERADO
7586,TOWN CENTER ZUMPANGO,4685,METROPOLITANA NORTE,GRG,PRACTDUAL,ACTIVO,CTRA ZUMPANGO LOS REYES,2000,ESTADO DE MEXICO,ZUMPANGO,55635,ZUMPANGO,BUENAVISTA,19.788926,-99.055049,SUC,GRG,APODERADO
7587,PENJAMO HIDALGO,5526,BAJIO,WINCOR,PRACTDUAL,ACTIVO,HIDALGO,3,GUANAJUATO,PENJAMO,36900,PENJAMO,CENTRO,20.429705,-101.722806,SUC,WINCOR,APODERADO
7589,PARRAL ALTAVISTA,5113,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD ANTONIO ORTIZ MENA,221,CHIHUAHUA,HIDALGO DEL PARRAL,33860,HIDALGO DEL PARRAL,CENTRO,31.7246122,-106.4425156,SUC,DIEBOLD,APODERADO
7590,LOLA BELTRAN,5239,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD NEVADO DE TOLUCA,SN,SINALOA,CULIACAN ROSALES,80058,CULIACAN,FRACC RINCON DEL HUMAYA,24.816127,-107.428394,SUC,DIEBOLD,APODERADO
7592,APASEO EL GRANDE MADERO,5530,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,FRANCISCO I MADERO,103,GUANAJUATO,APASEO EL GRANDE,38160,APASEO EL GRANDE,CENTRO,20.545899,-100.688084,SUC,DIEBOLD,APODERADO
7593,APASEO EL GRANDE MADERO,5530,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,FRANCISCO I MADERO,103,GUANAJUATO,APASEO EL GRANDE,38160,APASEO EL GRANDE,CENTRO,20.545899,-100.688084,SUC,DIEBOLD,APODERADO
7594,CENTRO COMERCIAL PLAZA LEON,6062,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,BLVD LOPEZ MATEOS ESQ AV LAS TORRES,SN,GUANAJUATO,LEON DE LOS ALDAMA,37150,LEON,CAMPESTRE,21.157622,-101.6955287,REM,DIEBOLD,SEPSA
7596,GOB EDO PUEBLA CIS ATLIXCO,6062,SUR,WINCOR,PRACTDUAL,ACTIVO,AV REVOLUCION,6202,PUEBLA,ATLIXCO,74360,ATLIXCO,EL LEON,18.93.02682,-98.4594628,REM,WINCOR,SEPSA
7597,PATIO MERIDA,4727,SURESTE,WINCOR,PRACTDUAL,ACTIVO,AV 20 CIRCUITO COLONIAS,70,YUCATAN,MERIDA,97158,MERIDA,CHUMINOPOLIS,20.9771788,-89.59629155,SUC,WINCOR,APODERADO
7598,COMONFORT CENTRO,5534,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,LUIS CORTAZAR,1,GUANAJUATO,COMONFORT,38200,COMONFORT,CENTRO,20.719648,-100.760424,SUC,DIEBOLD,APODERADO
7599,PUEBLA SAN MANUEL,520,SUR,NCR,PRACTDUAL,ACTIVO,DIAGONAL ZARAGOZA,5128A,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,72570,PUEBLA,JARDINES DE SAN MANUEL,19.016596,-98.198958,SUC,NCR,APODERADO
7600,HERMOSILLO OCOTILLO,5807,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD LUIS DONALDO COLOSIO MURRIETA,450,SONORA,HERMOSILLO,83240,HERMOSILLO,LAS QUINTAS,29.08245,-110.98335,SUC,DIEBOLD,APODERADO
7601,HERMOSILLO OCOTILLO,5807,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,BLVD LUIS DONALDO COLOSIO MURRIETA,450,SONORA,HERMOSILLO,83240,HERMOSILLO,LAS QUINTAS,29.08245,-110.98335,SUC,DIEBOLD,APODERADO
7602,FARMACIAS GUADALAJARA PITILLAL,6062,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,EMILIANO ZAPATA,232,JALISCO,PUERTO VALLARTA,48298,PUERTO VALLARTA,BOBADILLA,20.654219,-105.221329,REM,DIEBOLD,SEPSA
7603,FARMACIAS GUADALAJARA,6062,OCCIDENTE,DIEBOLD,DISPENSADOR,ACTIVO,CALLE 5 DE MAYO,400,JALISCO,PUERTO VALLARTA,48298,PUERTO VALLARTA,BOBADILLA,20.653146,-105.222225,REM,DIEBOLD,SEPSA
7604,FARMACIAS GUADALAJARA LAS TORRES,6062,OCCIDENTE,NCR,DISPENSADOR,ACTIVO,CALZ DE LAS TORRES,MK 15,JALISCO,PUERTO VALLARTA,48328,PUERTO VALLARTA,LOS SAUCES,20.643332,-105.215034,REM,NCR,SEPSA
7605,PLAZA SUR 17,4716,SUR,GRG,DISPENSADOR,ACTIVO,AV ORIENTE,6,VERACRUZ,ORIZABA,94300,ORIZABA,CENTRO,18.847734,-97.104996,SUC,GRG,APODERADO
7606,ADELITAS CD. VICTORIA,1467,NORESTE,WINCOR,PRACTDUAL,ACTIVO,POLIGONOS 3 ENTRE CALLE COAHUILA Y ADOLFO LOPEZ,150,TAMAULIPAS,CIUDAD VICTORIA,87049,VICTORIA,LAS ADELITAS,23.7509633,-99.1566512,SUC,WINCOR,APODERADO
7607,NUEVO CASAS GRANDES,389,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,16 DE SEPTIEMBRE,118,CHIHUAHUA,NUEVO CASAS GRANDES,31700,NUEVO CASAS GRANDES,CENTRO,30.41533,-107.912319,SUC,DIEBOLD,APODERADO
7608,LEON BLVD HERMANOS ALDAMA,5268,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,BLVD HERMANOS ALDAMA,4003,GUANAJUATO,LEON DE LOS ALDAMA,37490,LEON,CIUDAD INDUSTRIAL,21.075603,-101.681189,SUC,DIEBOLD,APODERADO
7609,BODEGA AURRERA MANZANILLO,6062,OCCIDENTE,GRG,DISPENSADOR,ACTIVO,ELIAS ZAMORA VERDUZCO,6,COLIMA,MANZANILLO,28219,MANZANILLO,VALLE DE LAS GARZAS,19.7693136,-103.9905804,REM,GRG,SEPSA
7610,WALMART IRAPUATO SUR,6062,BAJIO,DIEBOLD,DISPENSADOR,ACTIVO,AV ENRIQUE COLUNGA ANTES AV SAN ROQUE,1184,GUANAJUATO,IRAPUATO,36580,IRAPUATO,SAN ROQUE,20.657256,-101.34298,REM,DIEBOLD,SEPSA
7611,HERMOSILLO PLAZA SENDERO,5188,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,PERIFERICO ORIENTE,1274,SONORA,HERMOSILLO,83290,HERMOSILLO,PERISUR,29.0350221,-110.9396897,SUC,DIEBOLD,APODERADO
7612,BODEGA AURRERA NARANJOS,6062,SUR,WINCOR,DISPENSADOR,ACTIVO,NARANJOS,1010,OAXACA,OAXACA DE JUAREZ,68050,OAXACA DE JUAREZ,REFORMA,17.0802,-96.7116,REM,WINCOR,SEPSA
7613,TAXCO PLATEROS,5561,SUR,DIEBOLD,PRACTDUAL,ACTIVO,AV DE LOS PLATEROS,174,GUERRERO,TAXCO DE ALARCON,40230,TAXCO DE ALARCON,LA MISION,18.558615,-99.599198,SUC,DIEBOLD,APODERADO
7614,PQUE. IND. VILLA FLORIDA,6062,NORESTE,GRG,DISPENSADOR,ACTIVO,AV DE LOS CEDROS,2015,TAMAULIPAS,REYNOSA,88715,REYNOSA,VILLA FLORIDA,26.076426,-98.379163,REM,GRG,SEPSA
7615,GARZA GARCIA VALLE ORIENTE,212,NORESTE,WINCOR,DISPENSADOR,ACTIVO,AV VASCONCELOS ORIENTE,203,NUEVO LEON,MONTERREY,64220,MONTERREY,SAN AGUSTIN,25.6537701,-100.3440442,SUC,WINCOR,APODERADO
7616,TAXCO PLATEROS,5561,SUR,DIEBOLD,PRACTDUAL,ACTIVO,AV DE LOS PLATEROS,174,GUERRERO,TAXCO DE ALARCON,40230,TAXCO DE ALARCON,LA MISION,18.558615,-99.599198,SUC,DIEBOLD,APODERADO
7617,LEON BLVD HERMANOS ALDAMA,5268,BAJIO,DIEBOLD,PRACTDUAL,ACTIVO,BLVD HERMANOS ALDAMA,4003,GUANAJUATO,LEON DE LOS ALDAMA,37490,LEON,CIUDAD INDUSTRIAL,21.075603,-101.681189,SUC,DIEBOLD,APODERADO
7618,SORIANA RIO,5623,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,AV SOLIDARIDAD,350,MICHOACAN,MORELIA,58070,MORELIA,FELIX IRETA,19.6883433,-101.1866897,SUC,DIEBOLD,APODERADO
7619,HERMOSILLO PABELLON REFORMA,5220,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,CALLE DE LA REFORMA,57,SONORA,HERMOSILLO,83270,HERMOSILLO,PROYECTO RIO SONORA,29.066133,-110.9640377,SUC,DIEBOLD,APODERADO
7620,SORIANA RIO,5623,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,AV SOLIDARIDAD,350,MICHOACAN,MORELIA,58070,MORELIA,FELIX IRETA,19.6883433,-101.1866897,SUC,DIEBOLD,APODERADO
7621,PLAZA SUR 17,4716,SUR,GRG,DISPENSADOR,ACTIVO,AV ORIENTE,6,VERACRUZ,ORIZABA,94300,ORIZABA,CENTRO,18.847734,-97.104996,SUC,GRG,APODERADO
7622,CIUDAD HIDALGO LERDO DE TEJADA,5635,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,LERDO DE TEJADA,9,MICHOACAN,CIUDAD HIDALGO,61100,HIDALGO,CENTRO,19.6904694,-100.5564879,SUC,DIEBOLD,APODERADO
7623,MOLIMENTALES DEL NOROESTA,6062,NOROESTE,WINCOR,DISPENSADOR,ACTIVO,CUAUHTEMOC FINAL,SN,SONORA,SANTA ANA,84617,SANTA ANA,ESTACION LLANO,30.542332,-111.127353,REM,WINCOR,SEPSA
7624,HERMOSILLO PABELLON REFORMA,5220,NOROESTE,DIEBOLD,PRACTDUAL,ACTIVO,CALLE DE LA REFORMA,57,SONORA,HERMOSILLO,83270,HERMOSILLO,PROYECTO RIO SONORA,29.066133,-110.9640377,SUC,DIEBOLD,APODERADO
7625,BASILICA,3873,OCCIDENTE,DIEBOLD,PRACTDUAL,ACTIVO,AV HIDALGO,270,JALISCO,ZAPOPAN,45100,ZAPOPAN,CENTRO,20.721172,-103.388664,SUC,DIEBOLD,APODERADO
7626,PLAZA COACALCO,119,METROPOLITANA NORTE,DIEBOLD,PRACTDUAL,ACTIVO,JOSE LOPEZ PORTILLO,334 L 140,ESTADO DE MEXICO,COACALCO DE BERRIOZABAL,55714,COACALCO DE BERRIOZABAL,SAN LORENZO TETLIXTAC,19.627135,-99.081866,SUC,DIEBOLD,APODERADO
7627,PLAZA COACALCO,119,METROPOLITANA NORTE,DIEBOLD,PRACTDUAL,ACTIVO,JOSE LOPEZ PORTILLO,334 L 140,ESTADO DE MEXICO,COACALCO DE BERRIOZABAL,55714,COACALCO DE BERRIOZABAL,SAN LORENZO TETLIXTAC,19.627135,-99.081866,SUC,DIEBOLD,APODERADO
7628,PLAZA COACALCO,119,METROPOLITANA NORTE,DIEBOLD,PRACTDUAL,ACTIVO,JOSE LOPEZ PORTILLO,334 L 140,ESTADO DE MEXICO,COACALCO DE BERRIOZABAL,55714,COACALCO DE BERRIOZABAL,SAN LORENZO TETLIXTAC,19.627135,-99.081866,SUC,DIEBOLD,APODERADO
7629,CHIHUAHUA CIRCUITO UNIVERSITARIO,4610,NOROESTE,WINCOR,DISPENSADOR,ACTIVO,AV PERIFERICO DE LA JUVENTUD,SN,CHIHUAHUA,CHIHUAHUA,31124,CHIHUAHUA,IGNACIO ALLENDE,28.690494,-106.132525,SUC,WINCOR,APODERADO
7630,CHIHUAHUA CIRCUITO UNIVERSITARIO,4610,NOROESTE,WINCOR,DISPENSADOR,ACTIVO,AV PERIFERICO DE LA JUVENTUD,SN,CHIHUAHUA,CHIHUAHUA,31124,CHIHUAHUA,IGNACIO ALLENDE,28.690494,-106.132525,SUC,WINCOR,APODERADO
7631,MANANTIALES NATIVITAS,3699,METROPOLITANA SUR,DIEBOLD,PRACTDUAL,ACTIVO,CAMINO A NATIVITAS,99,DISTRITO FEDERAL,CIUDAD DE MEXICO,16090,XOCHIMILCO,BARRIO XALTOCAN,19.252857,-99.101415,SUC,DIEBOLD,APODERADO
